"Safe","Device type","Policy ID","Target system address","Target system user name","Group name","Last accessed date","Last accessed by","Last modified date","Last modified by","Change failure","Verification failure","Failure reason","Name",
"VaultInternal","Operating System","UnixSSH-30d","sj1gvm.corp.adobe.com","root","","","","7/15/2014 5:51:21 AM","kadmin","No","Yes","First login - Unable to connect to machine. Check machine address and port. code: 8000","root-sj1gvm.corp.adobe.com-Operating System",
¿"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","DA1HBA016.corp.adobe.com","Administrator","","9/3/2014 11:36:52 PM","rtodd","7/21/2014 12:04:50 PM","PasswordManager","Yes","No","Error in prereconcilepass to user DA1HBA016.corp.adobe.com\Administrator on domain DA1HBA016.corp.adobe.com(\\DA1HBA016.CORP.ADOBE.COM). Reason: Logon failure: unknown user name or bad password. (winRc=1326). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-267862",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM297.corp.adobe.com","Administrator","","","","7/23/2014 5:03:30 PM","PasswordManager","Yes","No","Error in prereconcilepass to user SJ1SWM297.corp.adobe.com\Administrator on domain SJ1SWM297.corp.adobe.com(\\SJ1SWM297.CORP.ADOBE.COM). Reason: Logon Failure: The target account name is incorrect. (winRc=1396). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-317368",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","DA1SWM095.corp.adobe.com","Administrator","","","","7/24/2014 11:00:35 PM","PasswordManager","Yes","No","Error in prereconcilepass to user DA1SWM095.corp.adobe.com\Administrator on domain DA1SWM095.corp.adobe.com(\\DA1SWM095.CORP.ADOBE.COM). Reason: The network path was not found. (winRc=53). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-328690",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","NO1SWM072.corp.adobe.com","Administrator","","","","7/25/2014 6:49:06 AM","PasswordManager","Yes","No","Error in prereconcilepass to user NO1SWM072.corp.adobe.com\Administrator on domain NO1SWM072.corp.adobe.com(\\NO1SWM072.CORP.ADOBE.COM). Reason: Logon Failure: The target account name is incorrect. (winRc=1396). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-339057",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","NO1SWM083.corp.adobe.com","Administrator","","","","7/25/2014 6:57:06 AM","PasswordManager","Yes","No","Error in prereconcilepass to user NO1SWM083.corp.adobe.com\Administrator on domain NO1SWM083.corp.adobe.com(\\NO1SWM083.CORP.ADOBE.COM). Reason: Logon Failure: The target account name is incorrect. (winRc=1396). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-339326",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM419.corp.adobe.com","Administrator","","","","7/25/2014 5:03:55 PM","PasswordManager","Yes","No","Error in prereconcilepass to user SJ1SWM419.corp.adobe.com\Administrator on domain SJ1SWM419.corp.adobe.com(\\SJ1SWM419.CORP.ADOBE.COM). Reason: The specified network name is no longer available. (winRc=64). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-349751",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","NO1SWM110.corp.adobe.com","Administrator","","","","7/26/2014 6:14:18 AM","PasswordManager","Yes","No","Error in prereconcilepass to user NO1SWM110.corp.adobe.com\Administrator on domain NO1SWM110.corp.adobe.com(\\NO1SWM110.CORP.ADOBE.COM). Reason: Logon Failure: The target account name is incorrect. (winRc=1396). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-355190",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","sj1swm314.corp.adobe.com","Administrator","","","","7/27/2014 4:38:46 AM","PasswordManager","Yes","No","Error in prereconcilepass to user sj1swm314.corp.adobe.com\Administrator on domain sj1swm314.corp.adobe.com(\\SJ1SWM314.CORP.ADOBE.COM). Reason: The network path was not found. (winRc=53). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-367559",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJCC01MA30.corp.adobe.com","Administrator","","6/5/2014 12:18:55 PM","ind31206","8/1/2014 8:57:24 PM","PasswordManager","Yes","No","Error in prereconcilepass to user SJCC01MA30.corp.adobe.com\Administrator on domain SJCC01MA30.corp.adobe.com(\\SJCC01MA30.CORP.ADOBE.COM). Reason: The network path was not found. (winRc=53). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-356667",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","sim-lab.corp.adobe.com","Administrator","","","","8/4/2014 8:10:46 AM","PasswordManager","Yes","No","Error in logon to user sim-lab.corp.adobe.com\Administrator on domain sim-lab.corp.adobe.com(\\SIM-LAB.CORP.ADOBE.COM).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-355886",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","winaf7app05-prd.corp.adobe.com","Administrator","","7/29/2013 8:12:55 AM","shahi","8/5/2014 10:41:21 PM","PasswordManager","Yes","No","Error in logon to user winaf7app05-prd.corp.adobe.com\Administrator on domain winaf7app05-prd.corp.adobe.com(\\WINAF7APP05-PRD.CORP.ADOBE.COM).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-143301",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","bow.corp.adobe.com","Administrator","","8/12/2014 11:22:07 AM","ind31206","8/5/2014 11:22:41 PM","PasswordManager","Yes","No","Error in logon to user bow.corp.adobe.com\Administrator on domain bow.corp.adobe.com(\\BOW.CORP.ADOBE.COM).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-161876",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","gosling.corp.adobe.com","Administrator","","11/3/2013 6:01:25 AM","csundell","8/6/2014 12:05:54 AM","PasswordManager","Yes","No","Error in logon to user gosling.corp.adobe.com\Administrator on domain gosling.corp.adobe.com(\\GOSLING.CORP.ADOBE.COM).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-216491",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJCITSMCAPBPA01.corp.adobe.com","Administrator","","10/5/2012 9:29:46 PM","rtodd","8/6/2014 2:49:24 AM","PasswordManager","Yes","No","Error in logon to user SJCITSMCAPBPA01.corp.adobe.com\Administrator on domain SJCITSMCAPBPA01.corp.adobe.com(\\SJCITSMCAPBPA01.CORP.ADOBE.COM).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-277356",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","LCES2AS1-STG2.corp.adobe.com","Administrator","","","","8/6/2014 3:58:44 AM","PasswordManager","Yes","No","Error in logon to user LCES2AS1-STG2.corp.adobe.com\Administrator on domain LCES2AS1-STG2.corp.adobe.com(\\LCES2AS1-STG2.CORP.ADOBE.COM).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-283213",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","p01serint-prd.corp.adobe.com","Administrator","","","","8/8/2014 8:31:24 PM","PasswordManager","Yes","No","Error in logon to user p01serint-prd.corp.adobe.com\Administrator on domain p01serint-prd.corp.adobe.com(\\P01SERINT-PRD.CORP.ADOBE.COM).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-282469",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","sj1swm221.corp.adobe.com","Administrator","","","","8/8/2014 10:08:28 PM","PasswordManager","Yes","No","Error in logon to user sj1swm221.corp.adobe.com\Administrator on domain sj1swm221.corp.adobe.com(\\SJ1SWM221.CORP.ADOBE.COM).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-305044",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","sjetsr2-170-55.corp.adobe.com","Administrator","","","","8/8/2014 10:11:14 PM","PasswordManager","Yes","No","Error in logon to user sjetsr2-170-55.corp.adobe.com\Administrator on domain sjetsr2-170-55.corp.adobe.com(\\SJETSR2-170-55.CORP.ADOBE.COM).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-306589",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","etechservices-win2k8.adobenet.global.adobe.com","Administrator","","8/22/2014 12:26:45 AM","dpurdy","8/14/2014 10:27:00 PM","PasswordManager","Yes","No","Error in logon to user etechservices-win2k8.adobenet.global.adobe.com\Administrator on domain etechservices-win2k8.adobenet.global.adobe.com(\\ETECHSERVICES-WIN2K8.ADOBENET.GLOBAL.ADOBE.COM).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-246821",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SCCM-DUB.adobenet.global.adobe.com","Administrator","","","","8/22/2014 2:44:01 AM","PasswordManager","Yes","No","Error in prereconcilepass to user SCCM-DUB.adobenet.global.adobe.com\Administrator on domain SCCM-DUB.adobenet.global.adobe.com(\\SCCM-DUB.ADOBENET.GLOBAL.ADOBE.COM). Reason: Logon failure: unknown user name or bad password. (winRc=1326). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-347954",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","Address","Administrator","","","","8/26/2014 5:48:30 AM","PasswordManager","Yes","No","Error in logon to user Address\Administrator on domain Address(\\ADDRESS).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-317576",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","Address","Administrator","","","","8/26/2014 5:48:32 AM","PasswordManager","Yes","No","Error in logon to user Address\Administrator on domain Address(\\ADDRESS).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-317581",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","Address","Administrator","","","","8/26/2014 5:57:22 AM","PasswordManager","Yes","No","Error in logon to user Address\Administrator on domain Address(\\ADDRESS).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-328656",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","Address","Administrator","","","","8/26/2014 5:58:28 AM","PasswordManager","Yes","No","Error in logon to user Address\Administrator on domain Address(\\ADDRESS).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-328659",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","Address","Administrator","","","","8/26/2014 6:00:22 AM","PasswordManager","Yes","No","Error in logon to user Address\Administrator on domain Address(\\ADDRESS).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-328660",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","Address","Administrator","","","","8/26/2014 6:02:27 AM","PasswordManager","Yes","No","Error in logon to user Address\Administrator on domain Address(\\ADDRESS).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-328661",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","Address","Administrator","","","","8/26/2014 6:03:05 AM","PasswordManager","Yes","No","Error in logon to user Address\Administrator on domain Address(\\ADDRESS).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-328665",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","Address","Administrator","","","","8/26/2014 6:03:20 AM","PasswordManager","Yes","No","Error in logon to user Address\Administrator on domain Address(\\ADDRESS).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-328666",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","Address","Administrator","","","","8/26/2014 6:26:30 AM","PasswordManager","Yes","No","Error in logon to user Address\Administrator on domain Address(\\ADDRESS).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-331207",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","Address","Administrator","","","","8/26/2014 6:26:59 AM","PasswordManager","Yes","No","Error in logon to user Address\Administrator on domain Address(\\ADDRESS).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-331208",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","Address","Administrator","","","","8/26/2014 6:27:27 AM","PasswordManager","Yes","No","Error in logon to user Address\Administrator on domain Address(\\ADDRESS).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-331212",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","ensemble-fnb-prd.corp.adobe.com","Administrator","","6/5/2014 6:55:05 AM","ind31206","8/26/2014 9:40:05 PM","PasswordManager","Yes","No","Error in logon to user ensemble-fnb-prd.corp.adobe.com\Administrator on domain ensemble-fnb-prd.corp.adobe.com(\\ENSEMBLE-FNB-PRD.CORP.ADOBE.COM).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-260431",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","INDIAHUB01.corp.adobe.com","Administrator","","","","8/28/2014 4:12:16 AM","PasswordManager","Yes","No","Error in logon to user INDIAHUB01.corp.adobe.com\Administrator on domain INDIAHUB01.corp.adobe.com(\\INDIAHUB01.CORP.ADOBE.COM).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-163081",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","du1hba016.corp.adobe.com","Administrator","","","","8/28/2014 8:00:54 PM","PasswordManager","Yes","No","Error in logon to user du1hba016.corp.adobe.com\Administrator on domain du1hba016.corp.adobe.com(\\DU1HBA016.CORP.ADOBE.COM).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-257575",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","excas01.corp.adobe.com","Administrator","","","","8/29/2014 10:07:23 PM","PasswordManager","Yes","No","Error in logon to user excas01.corp.adobe.com\Administrator on domain excas01.corp.adobe.com(\\EXCAS01.CORP.ADOBE.COM).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-272053",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","da1hba001.corp.adobe.com","Administrator","","9/3/2014 11:28:06 PM","rtodd","8/29/2014 10:07:44 PM","PasswordManager","Yes","No","Error in prereconcilepass to user da1hba001.corp.adobe.com\Administrator on domain da1hba001.corp.adobe.com(\\DA1HBA001.CORP.ADOBE.COM). Reason: The network path was not found. (winRc=53). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-317569",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","signage.corp.adobe.com","Administrator","","12/7/2012 6:55:34 PM","Administrator","8/30/2014 2:13:40 AM","PasswordManager","Yes","No","Error in prereconcilepass to user signage.corp.adobe.com\Administrator on domain signage.corp.adobe.com(\\SIGNAGE.CORP.ADOBE.COM). Reason: Logon Failure: The target account name is incorrect. (winRc=1396). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-189006",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","Fusion.corp.adobe.com","Administrator","","5/26/2014 5:57:32 AM","ind31206","8/30/2014 2:16:17 AM","PasswordManager","Yes","No","Error in prereconcilepass to user Fusion.corp.adobe.com\Administrator on domain Fusion.corp.adobe.com(\\FUSION.CORP.ADOBE.COM). Reason: Logon Failure: The target account name is incorrect. (winRc=1396). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-242704",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","lucidgear2.corp.adobe.com","Administrator","","5/5/2014 8:35:20 AM","pbhardwa","9/1/2014 8:18:10 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-258247",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM113.corp.adobe.com","Administrator","","","","9/1/2014 8:18:21 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-286507",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM115.corp.adobe.com","Administrator","","","","9/1/2014 8:18:21 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-286506",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM134.corp.adobe.com","Administrator","","","","9/1/2014 8:18:21 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-286509",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM114.corp.adobe.com","Administrator","","","","9/1/2014 8:18:21 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-286505",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","Dosai.corp.adobe.com","Administrator","","6/13/2014 5:32:15 PM","rtodd","9/1/2014 8:18:22 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-242440",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1GWM005.corp.adobe.com","Administrator","","","","9/1/2014 8:25:52 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-287596",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM067.corp.adobe.com","Administrator","","","","9/1/2014 8:25:52 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-287593",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM046.corp.adobe.com","Administrator","","","","9/1/2014 8:25:51 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-286852",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM043.corp.adobe.com","Administrator","","","","9/1/2014 8:25:52 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-286603",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1HBA080.corp.adobe.com","Administrator","","","","9/1/2014 8:25:52 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-287519",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1HBA096.corp.adobe.com","Administrator","","8/22/2014 10:45:05 AM","mharmis","9/1/2014 8:25:52 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-287520",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM064.corp.adobe.com","Administrator","","","","9/1/2014 8:31:48 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-287617",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM078.corp.adobe.com","Administrator","","","","9/1/2014 8:31:54 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-287651",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM092.corp.adobe.com","Administrator","","","","9/1/2014 8:32:03 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-287761",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM087.corp.adobe.com","Administrator","","","","9/1/2014 8:32:06 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-287670",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM086.corp.adobe.com","Administrator","","","","9/1/2014 8:32:05 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-287669",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM088.corp.adobe.com","Administrator","","","","9/1/2014 8:32:05 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-287692",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM112.corp.adobe.com","Administrator","","","","9/1/2014 8:38:28 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-290348",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1GWM034.corp.adobe.com","Administrator","","","","9/1/2014 8:38:45 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-290356",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM161.corp.adobe.com","Administrator","","","","9/1/2014 8:39:03 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-290435",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1GWM006.corp.adobe.com","Administrator","","","","9/1/2014 8:39:03 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-290319",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1GWM021.corp.adobe.com","Administrator","","","","9/1/2014 8:39:03 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-290248",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM111.corp.adobe.com","Administrator","","","","9/1/2014 8:39:10 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-290347",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM059.corp.adobe.com","Administrator","","","","9/1/2014 8:45:16 AM","PasswordManager","No","No","","S-1-5-21-762979615-2031575299-929701000-290628",
